State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_x0020_Price,Max_x0020_Price,Modal_x0020_Price
"Andhra Pradesh",Prakasam,"Santhamaguluru APMC",Paddy(Common),"B P T",Local,26/07/2026,2400,2450,2430
"Andhra Pradesh",Prakasam,"Maddipadu APMC",Paddy(Common),Paddy,FAQ,26/07/2026,2500,2500,2500
"Andhra Pradesh",Prakasam,"Maddipadu APMC","Bengal Gram(Gram)(Whole)",Gulabi,FAQ,26/07/2026,6000,6000,6000
Keralam,Kozhikode(Calicut),"Mukkom Market",Beetroot,Beetroot,FAQ,26/07/2026,3800,4200,4000
Keralam,Kozhikode(Calicut),"Mukkom Market","Bhindi(Ladies Finger)",Bhindi,FAQ,26/07/2026,4200,4600,4400
Keralam,Kozhikode(Calicut),"Mukkom Market",Carrot,Carrot,FAQ,26/07/2026,6200,6500,6300
Keralam,Kozhikode(Calicut),"Mukkom Market","Bitter gourd","Bitter Gourd",FAQ,26/07/2026,6200,6500,6400
Keralam,Kozhikode(Calicut),"Mukkom Market","Green Chilli","Green Chilly",FAQ,26/07/2026,5000,5500,5200
Telangana,Hyderabad,"RYTHU BAZAR FALAKNUMA","Green Chilli","Green Chilly","Grade B",26/07/2026,3500,3500,3500
Telangana,Hyderabad,"RYTHU BAZAR FALAKNUMA",Tomato,Tomato,Local,26/07/2026,1700,1700,1700
Telangana,Hyderabad,"RYTHU BAZAR FALAKNUMA","Leafy Vegetable","Leafy Vegetables","Grade A",26/07/2026,3000,3000,3000
Telangana,Hyderabad,"RYTHU BAZAR FALAKNUMA",Cucumbar(Kheera),Cucumbar,"Grade B",26/07/2026,1800,1800,1800
Keralam,Kollam,"Anchal Market",Pineapple,Other,Local,26/07/2026,6300,6300,6300
Keralam,Kollam,"Anchal Market",Ashgourd,Ashgourd,Local,26/07/2026,6500,6500,6500
Keralam,Kollam,"Anchal Market",Onion,Small,Local,26/07/2026,3800,3800,3800
Keralam,Kollam,"Anchal Market",Potato,Potato,Local,26/07/2026,4200,4200,4200
Keralam,Kollam,"Anchal Market",Tomato,Tomato,Local,26/07/2026,3800,3800,3800
Rajasthan,Jalore,"Jalore APMC",Lemon,Other,Local,26/07/2026,1500,1800,1700
Rajasthan,Jalore,"Jalore APMC",Ginger(Green),Other,Local,26/07/2026,4000,4500,4300
Keralam,Kottayam,"Ettumanoor Market",Ashgourd,Ashgourd,FAQ,26/07/2026,2000,2400,2200
Keralam,Kottayam,"Ettumanoor Market",Carrot,Carrot,FAQ,26/07/2026,7000,7400,7200
Keralam,Kottayam,"Ettumanoor Market",Cucumbar(Kheera),Cucumbar,FAQ,26/07/2026,2000,2200,2100
"Tamil Nadu",Thanjavur,"Tirukattupalli(Uzhavar Sandhai )",Brinjal,Round,Local,26/07/2026,4000,5000,4500
"Tamil Nadu",Thanjavur,"Tirukattupalli(Uzhavar Sandhai )","Bottle gourd","Bottle Gourd",Local,26/07/2026,6000,6000,6000
"Tamil Nadu",Thanjavur,"Tirukattupalli(Uzhavar Sandhai )",Ashgourd,Gouard,Local,26/07/2026,2400,2400,2400
"Tamil Nadu",Thiruchirappalli,"Thuraiyur APMC",Carrot,Pusakesar,Local,26/07/2026,9600,11500,10550
"Tamil Nadu",Thiruchirappalli,"Thuraiyur APMC","Green Avare(W)","Green Avare (W)",Local,26/07/2026,5500,6500,6000
"Tamil Nadu",Thiruchirappalli,"Thuraiyur APMC","Elephant Yam(Suran)/Amorphophallus","Elephant Yam (Suran)",Local,26/07/2026,4000,4500,4250
"Tamil Nadu",Thiruchirappalli,"Thuraiyur APMC",Lemon,Lemon,Local,26/07/2026,5000,6000,5500
"Tamil Nadu",Villupuram,"Tindivanam APMC",Potato,"Red Nanital",Local,26/07/2026,3600,3600,3600
"Tamil Nadu",Villupuram,"Tindivanam APMC",Mango,Safeda,Local,26/07/2026,5000,5000,5000
"Tamil Nadu",Villupuram,"Tindivanam APMC",Coriander(Leaves),"I Sort",Local,26/07/2026,6000,6000,6000
"Tamil Nadu",Villupuram,"Tindivanam APMC","Water Melon","Water Melon",Local,26/07/2026,2000,2000,2000
"Tamil Nadu",Villupuram,"Tindivanam APMC",Amaranthus,Amaranthus,Local,26/07/2026,4000,4000,4000
"Tamil Nadu",Villupuram,"Tindivanam APMC",Ginger(Green),"Green Ginger",Local,26/07/2026,13000,13000,13000
"Tamil Nadu",Villupuram,"Tindivanam APMC",Thondekai,Thondekai,Local,26/07/2026,3500,3500,3500
"Tamil Nadu",Villupuram,"Tindivanam APMC","Green Avare(W)","Green Avare (W)",Local,26/07/2026,7000,7000,7000
"Tamil Nadu",Villupuram,"Tindivanam APMC",Drumstick,Drumstick,Local,26/07/2026,4500,4500,4500
"Tamil Nadu",Villupuram,"Tindivanam APMC",Yam(Ratalu),"Yam (Ratalu)",Local,26/07/2026,6000,6000,6000
"Tamil Nadu",Villupuram,"Tindivanam APMC",Rose(Local),"Rose (Local)",Local,26/07/2026,30000,30000,30000
"Tamil Nadu",Villupuram,"Ulundurpettai APMC",Onion,Bellary,Local,26/07/2026,4000,4000,4000
"Tamil Nadu",Villupuram,"Ulundurpettai APMC",Pumpkin,Pumpkin,Local,26/07/2026,2500,2500,2500
"Tamil Nadu",Villupuram,"Ulundurpettai APMC","Bhindi(Ladies Finger)",Bhindi,Local,26/07/2026,3000,3000,3000
Maharashtra,"Chattrapati Sambhajinagar","Chattrapati Sambhajinagar APMC","Karbuja(Musk Melon)",Other,Local,26/07/2026,1000,1500,1250
Maharashtra,"Chattrapati Sambhajinagar","Chattrapati Sambhajinagar APMC",Cabbage,Other,Local,26/07/2026,1100,1600,1350
Maharashtra,"Chattrapati Sambhajinagar","Chattrapati Sambhajinagar APMC",Garlic,Other,Local,26/07/2026,9000,20000,14500
Maharashtra,Pune,"Pune APMC",Pineapple,Other,Local,26/07/2026,1600,2600,2100
Maharashtra,Pune,"Pune APMC",Pomegranate,Other,Local,26/07/2026,1000,10000,5500
Maharashtra,Pune,"Pune APMC",Lime,Other,Local,26/07/2026,500,2100,1300
Maharashtra,Pune,"Pune APMC",Orange,Other,Local,26/07/2026,4000,10000,7000
Maharashtra,Pune,"Pune APMC","Bhindi(Ladies Finger)",Other,Local,26/07/2026,1600,3500,2550
Maharashtra,Pune,"Pune APMC",Onion,Local,Local,26/07/2026,900,2600,1750
Maharashtra,Pune,"Pune APMC",Garlic,Other,Local,26/07/2026,7000,26000,16500
Maharashtra,Pune,"Pune APMC","Chilly Capsicum",Other,Local,26/07/2026,2000,4000,3000
Maharashtra,Pune,"Pune APMC",Brinjal,Other,Local,26/07/2026,1000,3000,2000
Maharashtra,Pune,"Pune(Moshi) APMC",Beetroot,Other,Local,26/07/2026,3000,3000,3000
Maharashtra,Pune,"Pune(Moshi) APMC",Methi(Leaves),Other,Local,26/07/2026,10,15,13
Maharashtra,Pune,"Pune(Moshi) APMC",Mint(Pudina),Other,Local,26/07/2026,5,10,8
Maharashtra,Pune,"Pune(Moshi) APMC","Peas Wet",Other,Local,26/07/2026,15000,15000,15000
Maharashtra,Pune,"Pune(Moshi) APMC",Mango(Raw-Ripe),Other,Local,26/07/2026,3000,3000,3000
"Uttar Pradesh",Badaun,"Babrala APMC",Potato,Desi,Medium,26/07/2026,530,550,540
"Uttar Pradesh",Lakhimpur,"Golagokarnath APMC",Paddy(Common),Common,FAQ,26/07/2026,1800,1900,1888.03
"Uttar Pradesh","Bhadohi(Sant Ravi Nagar)","Gopiganj APMC",Paddy(Common),Common,FAQ,26/07/2026,2500,2500,2500
"Uttar Pradesh",Hamirpur,"Maudaha APMC","Gram Raw(Chholia)",Other,FAQ,26/07/2026,5350,5350,5350
"Uttar Pradesh",Hamirpur,"Maudaha APMC",Wheat,Dara,FAQ,26/07/2026,2500,2500,2500
